"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/1112427536/status/716437740066369536"	""	"0"	"Sun Apr 03 01:30:42 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"RareGucci"	"RT @fucktyler: WOLF is 3 Today"	"805"	"512"	"Donegal|Dublin"	"Amsterdam"	"7200"
"http://twitter.com/1922236064/status/716437698140106753"	""	"0"	"Sun Apr 03 01:30:32 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"breslynn"	"@devilfruits_ literally same. the last butt picture I sent to you, I took just to hit you with a surprise nude"	"368"	"287"	"long island"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/1400293477/status/716437714896162816"	""	"0"	"Sun Apr 03 01:30:36 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gFQh5m6vrR"	""	""	"KaitlinRayos"	"THIS IS GOLDEN 😂😂😂😂 https://t.co/gFQh5m6vrR"	"458"	"406"	""	""	""
"http://twitter.com/3180178310/status/716437790406213632"	""	"0"	"Sun Apr 03 01:30:54 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"foozlenjh"	"two ninety five  GO DIRECTIONERS GO  #BestFanArmy #Directioners #iHeartAwards"	"41"	"474"	""	""	""
"http://twitter.com/3473058375/status/716437882681102336"	""	"0"	"Sun Apr 03 01:31:16 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"4FiftHarmonizer"	"27x HARMONIZERS ATTACK NOW ROMEOPLAY5H  #Harmonizers #iHeartAwards #BestFanArmy"	"2"	"7"	""	""	""
"http://twitter.com/291319608/status/716437777827635201"	""	"0"	"Sun Apr 03 01:30:51 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"DMarisha97"	"@twinxcee I love you moreeeee 😊"	"1303"	"1019"	"Somewhere Sitting Pretty "	"Quito"	"-18000"
"http://twitter.com/141992397/status/716437681341927424"	""	"0"	"Sun Apr 03 01:30:28 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/n9oPvTiAqD"	""	""	"foreverluar"	"RT @vinistupido: DONA DO BBB 16 https://t.co/n9oPvTiAqD"	"8491"	"488"	""	"Brasilia"	"-10800"
"http://twitter.com/174390136/status/716437714904584192"	""	"0"	"Sun Apr 03 01:30:36 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"FlyB817"	"RT @iamPink_lipss: Scored a 200 out of 210 on my math midterm exam 😅 I'm soooooo freaking proud of myself! Lol 😄😁"	"438"	"401"	"Abilene, TX"	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/339875988/status/716437836539428865"	""	"0"	"Sun Apr 03 01:31:05 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"SimoneCharles"	"I need more people on Snapchat !"	"2299"	"1220"	"somewhere in Houston"	""	""
"http://twitter.com/702207363629998081/status/716437710714462208"	""	"0"	"Sun Apr 03 01:30:35 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"sky_101_xoxo"	"RT @taylorcaniff: Nothing I can tweet that will change things. Only my actions and behaviour can change things. Not my fingers"	"172"	"469"	"Louisiana, USA"	""	""
"http://twitter.com/196110680/status/716437656180133888"	""	"0"	"Sun Apr 03 01:30:22 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/1qJdNBachJ"	""	""	"dianadi58"	"RT @justintarte: The best teachers... pretty much sums it up... via @PedroANoguera #ASCD16 #edchat https://t.co/1qJdNBachJ"	"402"	"367"	"Mx"	""	""
"http://twitter.com/17476695/status/716437748459171840"	""	"0"	"Sun Apr 03 01:30:44 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"chuckdegroat"	"@LizKlassen thank God for Pope Francis in this crazy time!"	"3790"	"505"	"Holland, MI"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/157123273/status/716437786220445696"	""	"0"	"Sun Apr 03 01:30:53 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"TheIronQueenn"	"I doooooontttttt care about you no longer being the type to text first no one does"	"4024"	"1515"	""	""	""
"http://twitter.com/2896592295/status/716437660395548672"	""	"0"	"Sun Apr 03 01:30:23 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gu4nl8jGGq"	""	""	"fuckxmeclifford"	"RT @Luke5SOS: When the tour is still 2 days away but you're ready now https://t.co/gu4nl8jGGq"	"437"	"769"	"Chile"	"Santiago"	"-10800"
"http://twitter.com/710980602225254400/status/716437798790828032"	""	"0"	"Sun Apr 03 01:30:56 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"animegi23"	"Do anybody like watching anime if you do you should go on kissanime it has all types of anime you can watch."	"15"	"23"	"St Louis, MO"	""	""
"http://twitter.com/4839654719/status/716437731694526464"	""	"0"	"Sun Apr 03 01:30:40 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gJOWjzoXAp"	""	""	"BrianPerez88"	"Taxman's fat purse raises hope for credit rating relief - Times LIVE - https://t.co/gJOWjzoXAp"	"53"	"39"	"United States"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/4635231908/status/716437777831755776"	""	"0"	"Sun Apr 03 01:30:51 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/GXFIxfKCyh"	""	""	"smolplustol"	"RT @Iarryfanart: (by: Unknown, url is too blurry) https://t.co/GXFIxfKCyh"	"199"	"441"	""	""	""
"http://twitter.com/3240924846/status/716437735888654336"	""	"0"	"Sun Apr 03 01:30:41 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/glgYwJlfP8"	""	""	"McdonnelKady"	"RT @topupdating: Twenty One Pilots today at the March Madness Music Festival part 8 https://t.co/glgYwJlfP8"	"211"	"421"	""	""	""
"http://twitter.com/882659174/status/716437811390455808"	""	"0"	"Sun Apr 03 01:30:59 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"AraujoKaio"	"10 a 5 nesse uplink faze monstrou"	"4100"	"320"	"São Paulo - SP"	"Brasilia"	"-10800"
"http://twitter.com/146642177/status/716437668759003136"	""	"0"	"Sun Apr 03 01:30:25 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/SUmwkvYz2N"	""	""	"shero4hire"	"RT @MrLXC: No thanks, I'll go the long way. https://t.co/SUmwkvYz2N"	"1473"	"1218"	"earth water fire wind"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/907663818/status/716437685565411328"	""	"0"	"Sun Apr 03 01:30:29 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"imdowcore"	"#JFCShawnMendes @ShawnMendes whats your favorite dessert?"	"305"	"467"	"Asteroid B-612 "	"Beijing"	"28800"
"http://twitter.com/3436426215/status/716437895284924418"	""	"0"	"Sun Apr 03 01:31:19 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/9Ja1nBFWmH"	""	""	"Crisis4franco"	"Hated https://t.co/9Ja1nBFWmH"	"270"	"178"	"Kissimmee, FL"	"Pacific Time (US & Canada)"	"-25200"
